date,match_number,city,team_1,team_2,team_1_runs.total,team_2_runs.total,match_winner,player_of_match,team_1_over,team_2_over,toss_winner,toss_decision,team_1_runs.extras,team_2_runs.extras,team_1_extras.legbyes,team_2_extras.legbyes,team_1_extras.wides,team_2_extras.wides,team_1_extras.byes,team_2_extras.byes,team_1_extras.noballs,team_2_extras.noballs,officials_match_referees,officials_reserve_umpires,officials_tv_umpires,officials_umpires_1,officials_umpires_2,outcome_by_wickets,season,venue,outcome_by_runs,event_stage,outcome_method,match_extras,match_legbyes,match_wides,match_byes,match_noballs,match_4's,match_6's
2017-05-21,60,Hyderabad,Mumbai Indians,Rising Pune Supergiant,129.0,128.0,Mumbai Indians,KH Pandya,19.0,19.0,Mumbai Indians,bat,8.0,9.0,2.0,5.0,5.0,3.0,1.0,1.0,0.0,0.0,J Srinath,A Nand Kishore,AK Chaudhary,NJ Llong,S Ravi,,2017,RajivGandhiInternationalStadium,1.0,Final,regular,17.0,7.0,8.0,2.0,0.0,17.0,7.0
2018-04-07,1,Mumbai,Mumbai Indians,Chennai Super Kings,165.0,169.0,Chennai Super Kings,DJ Bravo,19.0,19.0,Chennai Super Kings,field,4.0,7.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,RB Richardson,UV Gandhe,AK Chaudhary,CB Gaffaney,A Nand Kishore,1.0,2018,WankhedeStadium,,group_stage,regular,11.0,4.0,6.0,0.0,1.0,29.0,15.0
2018-04-08,2,Chandigarh,Delhi Daredevils,Kings XI Punjab,166.0,167.0,Kings XI Punjab,KL Rahul,19.0,18.0,Kings XI Punjab,field,6.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,J Srinath,N Pandit,Nitin Menon,KN Ananthapadmanabhan,RJ Tucker,6.0,2018,PunjabCricketAssociationISBindraStadium,,group_stage,regular,7.0,1.0,3.0,1.0,2.0,27.0,12.0
2018-04-08,3,Kolkata,Royal Challengers Bangalore,Kolkata Knight Riders,176.0,177.0,Kolkata Knight Riders,SP Narine,19.0,18.0,Kolkata Knight Riders,field,6.0,13.0,1.0,3.0,5.0,10.0,0.0,0.0,0.0,0.0,V Narayan Kutty,K Srinath,S Ravi,A Deshmukh,C Shamshuddin,4.0,2018,EdenGardens,,group_stage,regular,19.0,4.0,15.0,0.0,0.0,29.0,19.0
2018-04-09,4,Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,125.0,127.0,Sunrisers Hyderabad,S Dhawan,19.0,15.0,Sunrisers Hyderabad,field,8.0,8.0,3.0,0.0,5.0,3.0,0.0,4.0,0.0,1.0,S Chaturvedi,R Pandit,CK Nandan,NJ Llong,VA Kulkarni,9.0,2018,RajivGandhiInternationalStadium,,group_stage,regular,16.0,3.0,8.0,4.0,1.0,29.0,2.0
2018-04-10,5,Chennai,Kolkata Knight Riders,Chennai Super Kings,202.0,205.0,Chennai Super Kings,SW Billings,19.0,19.0,Chennai Super Kings,field,5.0,7.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,RB Richardson,UV Gandhe,A Nand Kishore,AK Chaudhary,CB Gaffaney,5.0,2018,MAChidambaramStadium,,group_stage,regular,12.0,4.0,6.0,1.0,1.0,20.0,31.0
2018-04-11,6,Jaipur,Rajasthan Royals,Delhi Daredevils,153.0,60.0,Rajasthan Royals,SV Samson,17.0,5.0,Delhi Daredevils,field,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,J Srinath,N Pandit,RJ Tucker,KN Ananthapadmanabhan,Nitin Menon,,2018,SawaiMansinghStadium,10.0,group_stage,D/L,6.0,3.0,3.0,0.0,0.0,18.0,8.0
2018-04-12,7,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,147.0,151.0,Sunrisers Hyderabad,Rashid Khan,19.0,19.0,Sunrisers Hyderabad,field,8.0,4.0,4.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,S Chaturvedi,R Pandit,VA Kulkarni,CK Nandan,NJ Llong,1.0,2018,RajivGandhiInternationalStadium,,group_stage,regular,12.0,7.0,4.0,0.0,1.0,33.0,7.0
2018-04-13,8,Bengaluru,Kings XI Punjab,Royal Challengers Bangalore,155.0,159.0,Royal Challengers Bangalore,UT Yadav,19.0,19.0,Royal Challengers Bangalore,field,6.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,V Narayan Kutty,K Srinath,C Shamshuddin,A Deshmukh,S Ravi,4.0,2018,MChinnaswamyStadium,,group_stage,regular,10.0,6.0,4.0,0.0,0.0,28.0,11.0
2018-04-14,9,Mumbai,Mumbai Indians,Delhi Daredevils,194.0,195.0,Delhi Daredevils,JJ Roy,19.0,19.0,Delhi Daredevils,field,10.0,2.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,J Srinath,N Pandit,RJ Tucker,KN Ananthapadmanabhan,Nitin Menon,7.0,2018,WankhedeStadium,,group_stage,regular,12.0,6.0,6.0,0.0,0.0,37.0,17.0
