date,match_number,city,team_1,team_2,season_match_no,outcome_winner,player_of_match,toss_winner,toss_decision,officials_match_referees,officials_reserve_umpires,officials_tv_umpires,officials_umpires_1,officials_umpires_2,outcome_by_wickets,season,venue,outcome_by_runs,event_stage,outcome_method
2012-04-10,10,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,10,Kolkata Knight Riders,L Balaji,Royal Challengers Bangalore,field,Raju Mukherjee,BK Ravi,S Asnani,S Ravi,RJ Tucker,,2012,MChinnaswamyStadium,42.0,group_stage,regular
2012-04-10,11,Delhi,Chennai Super Kings,Delhi Daredevils,11,Delhi Daredevils,M Morkel,Delhi Daredevils,field,RS Madugalle,S Dua,VA Kulkarni,Asad Rauf,SK Tarapore,8.0,2012,FerozShahKotla,,group_stage,regular
2012-04-11,12,Mumbai,Mumbai Indians,Rajasthan Royals,12,Mumbai Indians,KA Pollard,Rajasthan Royals,field,J Srinath,PG Pathak,S Das,Aleem Dar,BNJ Oxenford,,2012,WankhedeStadium,27.0,group_stage,regular
2012-04-12,13,Chennai,Royal Challengers Bangalore,Chennai Super Kings,13,Chennai Super Kings,F du Plessis,Royal Challengers Bangalore,bat,Raju Mukherjee,K Srinath,S Ravi,HDPK Dharmasena,RJ Tucker,5.0,2012,MAChidambaramStadium,,group_stage,regular
2012-04-12,14,Chandigarh,Pune Warriors,Kings XI Punjab,14,Kings XI Punjab,AD Mascarenhas,Kings XI Punjab,field,RS Madugalle,B Vij,BF Bowden,VA Kulkarni,SK Tarapore,7.0,2012,PunjabCricketAssociationStadium,,group_stage,regular
2012-04-13,15,Kolkata,Rajasthan Royals,Kolkata Knight Riders,15,Kolkata Knight Riders,Shakib Al Hasan,Rajasthan Royals,bat,GF Labrooy,Premdip Chatterjee,S Das,Asad Rauf,S Asnani,5.0,2012,EdenGardens,,group_stage,regular
2012-04-14,16,Pune,Chennai Super Kings,Pune Warriors,16,Pune Warriors,JD Ryder,Chennai Super Kings,bat,RR Jadeja,SD Ranade,AK Chaudhary,Aleem Dar,BNJ Oxenford,7.0,2012,SubrataRoySaharaStadium,,group_stage,regular
2012-04-15,17,Kolkata,Kings XI Punjab,Kolkata Knight Riders,17,Kings XI Punjab,SP Narine,Kolkata Knight Riders,field,GF Labrooy,Premdip Chatterjee,S Das,Asad Rauf,S Asnani,,2012,EdenGardens,2.0,group_stage,regular
2012-04-15,18,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,18,Rajasthan Royals,AM Rahane,Rajasthan Royals,bat,Raju Mukherjee,BK Ravi,S Ravi,JD Cloete,RJ Tucker,,2012,MChinnaswamyStadium,59.0,group_stage,regular
2012-04-16,19,Mumbai,Mumbai Indians,Delhi Daredevils,19,Delhi Daredevils,S Nadeem,Delhi Daredevils,field,RS Madugalle,PG Pathak,VA Kulkarni,BF Bowden,SK Tarapore,7.0,2012,WankhedeStadium,,group_stage,regular
2012-04-17,20,Jaipur,Deccan Chargers,Rajasthan Royals,20,Rajasthan Royals,BJ Hodge,Deccan Chargers,bat,RR Jadeja,PK Khakhar,AK Chaudhary,Aleem Dar,BNJ Oxenford,5.0,2012,SawaiMansinghStadium,,group_stage,regular
2012-04-17,21,Bangalore,Pune Warriors,Royal Challengers Bangalore,21,Royal Challengers Bangalore,CH Gayle,Pune Warriors,bat,GF Labrooy,BK Ravi,Asad Rauf,S Asnani,S Das,6.0,2012,MChinnaswamyStadium,,group_stage,regular
2012-04-18,22,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,22,Kolkata Knight Riders,G Gambhir,Kings XI Punjab,bat,RS Mahanama,B Vij,S Ravi,JD Cloete,RJ Tucker,8.0,2012,PunjabCricketAssociationStadium,,group_stage,regular
2012-04-19,23,Delhi,Deccan Chargers,Delhi Daredevils,23,Delhi Daredevils,KP Pietersen,Deccan Chargers,bat,RS Madugalle,S Dua,VA Kulkarni,BF Bowden,SK Tarapore,5.0,2012,FerozShahKotla,,group_stage,regular
2012-04-19,24,Chennai,Chennai Super Kings,Pune Warriors,24,Chennai Super Kings,KMDN Kulasekara,Pune Warriors,field,GF Labrooy,K Srinath,S Asnani,Asad Rauf,S Das,,2012,MAChidambaramStadium,13.0,group_stage,regular
2012-04-20,25,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,25,Royal Challengers Bangalore,CH Gayle,Royal Challengers Bangalore,field,RS Mahanama,B Vij,JD Cloete,S Ravi,RJ Tucker,5.0,2012,PunjabCricketAssociationStadium,,group_stage,regular
2012-04-21,26,Chennai,Rajasthan Royals,Chennai Super Kings,26,Chennai Super Kings,F du Plessis,Rajasthan Royals,bat,J Srinath,K Srinath,AK Chaudhary,Aleem Dar,BNJ Oxenford,7.0,2012,MAChidambaramStadium,,group_stage,regular
2012-04-21,27,Delhi,Pune Warriors,Delhi Daredevils,27,Pune Warriors,SC Ganguly,Delhi Daredevils,field,GF Labrooy,S Dua,S Asnani,Asad Rauf,S Das,,2012,FerozShahKotla,20.0,group_stage,regular
2012-04-22,28,Mumbai,Mumbai Indians,Kings XI Punjab,28,Kings XI Punjab,SE Marsh,Mumbai Indians,bat,Raju Mukherjee,PG Pathak,JD Cloete,S Ravi,RJ Tucker,6.0,2012,WankhedeStadium,,group_stage,regular
2012-04-22,29,Cuttack,Deccan Chargers,Kolkata Knight Riders,29,Kolkata Knight Riders,B Lee,Kolkata Knight Riders,field,RS Mahanama,R Subramanian,VA Kulkarni,BF Bowden,SK Tarapore,5.0,2012,BarabatiStadium,,group_stage,regular
2012-04-23,30,Jaipur,Royal Challengers Bangalore,Rajasthan Royals,30,Royal Challengers Bangalore,AB de Villiers,Rajasthan Royals,field,RS Madugalle,PK Khakhar,S Das,Asad Rauf,S Asnani,,2012,SawaiMansinghStadium,46.0,group_stage,regular
2012-04-24,31,Pune,Pune Warriors,Delhi Daredevils,31,Delhi Daredevils,V Sehwag,Pune Warriors,bat,Raju Mukherjee,SD Ranade,JD Cloete,S Ravi,RJ Tucker,8.0,2012,SubrataRoySaharaStadium,,group_stage,regular
2012-04-25,33,Chandigarh,Kings XI Punjab,Mumbai Indians,33,Mumbai Indians,AT Rayudu,Kings XI Punjab,bat,RS Mahanama,B Vij,AK Chaudhary,Aleem Dar,BNJ Oxenford,4.0,2012,PunjabCricketAssociationStadium,,group_stage,regular
2012-04-26,35,Pune,Deccan Chargers,Pune Warriors,35,Deccan Chargers,CL White,Deccan Chargers,bat,Raju Mukherjee,SD Ranade,JD Cloete,S Ravi,RJ Tucker,,2012,SubrataRoySaharaStadium,18.0,group_stage,regular
2012-04-27,36,Delhi,Delhi Daredevils,Mumbai Indians,36,Delhi Daredevils,V Sehwag,Mumbai Indians,field,J Srinath,S Dua,AK Chaudhary,Aleem Dar,BNJ Oxenford,,2012,FerozShahKotla,37.0,group_stage,regular
2012-04-28,37,Chennai,Kings XI Punjab,Chennai Super Kings,37,Kings XI Punjab,Mandeep Singh,Kings XI Punjab,bat,RS Mahanama,K Srinivasan,C Shamshuddin,BF Bowden,SK Tarapore,,2012,MAChidambaramStadium,7.0,group_stage,regular
2012-04-28,38,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,38,Kolkata Knight Riders,G Gambhir,Kolkata Knight Riders,bat,RR Jadeja,AS Pathania,S Asnani,Asad Rauf,BR Doctrove,,2012,EdenGardens,47.0,group_stage,regular
2012-04-29,39,Delhi,Delhi Daredevils,Rajasthan Royals,39,Delhi Daredevils,V Sehwag,Delhi Daredevils,bat,Raju Mukherjee,R Risodkar,JD Cloete,S Ravi,RJ Tucker,,2012,FerozShahKotla,1.0,group_stage,regular
2012-04-29,40,Mumbai,Deccan Chargers,Mumbai Indians,40,Mumbai Indians,DW Steyn,Mumbai Indians,field,J Srinath,RM Deshpande,Aleem Dar,AK Chaudhary,BNJ Oxenford,5.0,2012,WankhedeStadium,,group_stage,regular
2012-04-30,41,Chennai,Chennai Super Kings,Kolkata Knight Riders,41,Kolkata Knight Riders,G Gambhir,Chennai Super Kings,bat,RS Mahanama,K Srinivasan,SK Tarapore,BF Bowden,C Shamshuddin,5.0,2012,MAChidambaramStadium,,group_stage,regular
2012-05-01,42,Cuttack,Deccan Chargers,Pune Warriors,42,Deccan Chargers,KC Sangakkara,Deccan Chargers,bat,AJ Pycroft,R Subramanian,BNJ Oxenford,Aleem Dar,AK Chaudhary,,2012,BarabatiStadium,13.0,group_stage,regular
2012-05-01,43,Jaipur,Rajasthan Royals,Delhi Daredevils,43,Delhi Daredevils,P Negi,Rajasthan Royals,bat,Raju Mukherjee,K Bharatan,S Ravi,JD Cloete,SJA Taufel,6.0,2012,SawaiMansinghStadium,,group_stage,regular
2012-05-02,44,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,44,Kings XI Punjab,Azhar Mahmood,Kings XI Punjab,field,RS Mahanama,CK Nandan,SK Tarapore,BF Bowden,C Shamshuddin,4.0,2012,MChinnaswamyStadium,,group_stage,regular
2012-05-03,45,Pune,Mumbai Indians,Pune Warriors,45,Mumbai Indians,SL Malinga,Mumbai Indians,bat,AJ Pycroft,NA Patwardhan,BR Doctrove,Asad Rauf,S Asnani,,2012,SubrataRoySaharaStadium,1.0,group_stage,regular
2012-05-04,46,Chennai,Chennai Super Kings,Deccan Chargers,46,Chennai Super Kings,SK Raina,Chennai Super Kings,bat,RS Mahanama,K Srinivasan,Aleem Dar,HDPK Dharmasena,BNJ Oxenford,,2012,MAChidambaramStadium,10.0,group_stage,regular
2012-05-05,47,Kolkata,Kolkata Knight Riders,Pune Warriors,47,Kolkata Knight Riders,SP Narine,Kolkata Knight Riders,bat,J Srinath,AS Pathania,C Shamshuddin,BF Bowden,SK Tarapore,,2012,EdenGardens,7.0,group_stage,regular
2012-05-05,48,Chandigarh,Rajasthan Royals,Kings XI Punjab,48,Rajasthan Royals,SR Watson,Rajasthan Royals,bat,AJ Pycroft,B Vij,S Ravi,JD Cloete,SJA Taufel,,2012,PunjabCricketAssociationStadium,43.0,group_stage,regular
2012-05-06,49,Mumbai,Chennai Super Kings,Mumbai Indians,49,Mumbai Indians,DR Smith,Mumbai Indians,field,GF Labrooy,RM Deshpande,BR Doctrove,Asad Rauf,S Asnani,2.0,2012,WankhedeStadium,,group_stage,regular
2012-05-06,50,Bangalore,Deccan Chargers,Royal Challengers Bangalore,50,Royal Challengers Bangalore,AB de Villiers,Royal Challengers Bangalore,field,RS Mahanama,CK Nandan,Aleem Dar,HDPK Dharmasena,BNJ Oxenford,5.0,2012,MChinnaswamyStadium,,group_stage,regular
2012-05-07,51,Delhi,Delhi Daredevils,Kolkata Knight Riders,51,Kolkata Knight Riders,JH Kallis,Delhi Daredevils,bat,AJ Pycroft,R Risodkar,SJA Taufel,JD Cloete,S Ravi,6.0,2012,FerozShahKotla,,group_stage,regular
2012-05-08,52,Pune,Pune Warriors,Rajasthan Royals,52,Rajasthan Royals,SR Watson,Pune Warriors,bat,GF Labrooy,NA Patwardhan,S Asnani,Asad Rauf,BR Doctrove,7.0,2012,SubrataRoySaharaStadium,,group_stage,regular
2012-05-08,53,Hyderabad,Kings XI Punjab,Deccan Chargers,53,Kings XI Punjab,Mandeep Singh,Deccan Chargers,field,J Srinath,KN Ananthapadmanabhan,C Shamshuddin,HDPK Dharmasena,BNJ Oxenford,,2012,RajivGandhiInternationalStadium,25.0,group_stage,regular
2012-05-09,54,Mumbai,Mumbai Indians,Royal Challengers Bangalore,54,Royal Challengers Bangalore,CH Gayle,Royal Challengers Bangalore,field,RS Madugalle,RM Deshpande,SK Tarapore,BF Bowden,VA Kulkarni,9.0,2012,WankhedeStadium,,group_stage,regular
2012-05-10,55,Hyderabad,Deccan Chargers,Delhi Daredevils,55,Delhi Daredevils,DA Warner,Deccan Chargers,bat,J Srinath,KN Ananthapadmanabhan,S Ravi,JD Cloete,SJA Taufel,9.0,2012,RajivGandhiInternationalStadium,,group_stage,regular
2012-05-10,56,Jaipur,Rajasthan Royals,Chennai Super Kings,56,Chennai Super Kings,BW Hilfenhaus,Chennai Super Kings,field,AJ Pycroft,K Bharatan,HDPK Dharmasena,BNJ Oxenford,C Shamshuddin,4.0,2012,SawaiMansinghStadium,,group_stage,regular
2012-05-11,57,Pune,Royal Challengers Bangalore,Pune Warriors,57,Royal Challengers Bangalore,CH Gayle,Pune Warriors,field,RS Madugalle,NA Patwardhan,VA Kulkarni,BF Bowden,SK Tarapore,,2012,SubrataRoySaharaStadium,35.0,group_stage,regular
2012-05-12,58,Kolkata,Mumbai Indians,Kolkata Knight Riders,58,Mumbai Indians,RG Sharma,Mumbai Indians,bat,J Srinath,AS Pathania,JD Cloete,S Ravi,SJA Taufel,,2012,EdenGardens,27.0,group_stage,regular
2012-05-12,59,Chennai,Delhi Daredevils,Chennai Super Kings,59,Chennai Super Kings,BW Hilfenhaus,Chennai Super Kings,field,GF Labrooy,K Srinivasan,S Asnani,S Das,BR Doctrove,9.0,2012,MAChidambaramStadium,,group_stage,regular
2012-05-13,60,Jaipur,Rajasthan Royals,Pune Warriors,60,Rajasthan Royals,A Chandila,Rajasthan Royals,bat,RS Madugalle,K Bharatan,VA Kulkarni,BF Bowden,SK Tarapore,,2012,SawaiMansinghStadium,45.0,group_stage,regular
2012-05-13,61,Chandigarh,Deccan Chargers,Kings XI Punjab,61,Kings XI Punjab,DJ Hussey,Deccan Chargers,bat,AJ Pycroft,B Vij,C Shamshuddin,HDPK Dharmasena,BNJ Oxenford,4.0,2012,PunjabCricketAssociationStadium,,group_stage,regular
2012-05-14,62,Bangalore,Royal Challengers Bangalore,Mumbai Indians,62,Mumbai Indians,AT Rayudu,Mumbai Indians,field,GF Labrooy,CK Nandan,S Asnani,S Das,BR Doctrove,5.0,2012,MChinnaswamyStadium,,group_stage,regular
2012-05-14,63,Kolkata,Kolkata Knight Riders,Chennai Super Kings,63,Chennai Super Kings,MEK Hussey,Chennai Super Kings,field,Raju Mukherjee,AS Pathania,S Ravi,JD Cloete,SJA Taufel,5.0,2012,EdenGardens,,group_stage,regular
2012-05-15,64,Delhi,Kings XI Punjab,Delhi Daredevils,64,Delhi Daredevils,UT Yadav,Kings XI Punjab,bat,AJ Pycroft,R Risodkar,C Shamshuddin,HDPK Dharmasena,BNJ Oxenford,5.0,2012,FerozShahKotla,,group_stage,regular
2012-05-16,65,Mumbai,Kolkata Knight Riders,Mumbai Indians,65,Kolkata Knight Riders,SP Narine,Mumbai Indians,field,GF Labrooy,RM Deshpande,S Asnani,S Das,BR Doctrove,,2012,WankhedeStadium,32.0,group_stage,regular
2012-05-17,66,Dharamsala,Chennai Super Kings,Kings XI Punjab,66,Kings XI Punjab,AC Gilchrist,Kings XI Punjab,field,RS Madugalle,VK Sharma,BF Bowden,VA Kulkarni,SK Tarapore,6.0,2012,HimachalPradeshCricketAssociationStadium,,group_stage,regular
2012-05-17,67,Delhi,Royal Challengers Bangalore,Delhi Daredevils,67,Royal Challengers Bangalore,CH Gayle,Delhi Daredevils,field,AJ Pycroft,R Risodkar,BNJ Oxenford,HDPK Dharmasena,C Shamshuddin,,2012,FerozShahKotla,21.0,group_stage,regular
2012-05-18,68,Hyderabad,Rajasthan Royals,Deccan Chargers,68,Deccan Chargers,DW Steyn,Rajasthan Royals,bat,J Srinath,KN Ananthapadmanabhan,JD Cloete,S Ravi,SJA Taufel,5.0,2012,RajivGandhiInternationalStadium,,group_stage,regular
2012-05-19,69,Dharamsala,Kings XI Punjab,Delhi Daredevils,69,Delhi Daredevils,UT Yadav,Delhi Daredevils,field,RS Madugalle,VK Sharma,SK Tarapore,BF Bowden,VA Kulkarni,6.0,2012,HimachalPradeshCricketAssociationStadium,,group_stage,regular
2012-05-19,70,Pune,Kolkata Knight Riders,Pune Warriors,70,Kolkata Knight Riders,Shakib Al Hasan,Kolkata Knight Riders,bat,GF Labrooy,NA Patwardhan,S Das,S Asnani,BR Doctrove,,2012,SubrataRoySaharaStadium,34.0,group_stage,regular
2012-05-20,71,Hyderabad,Deccan Chargers,Royal Challengers Bangalore,71,Deccan Chargers,DW Steyn,Royal Challengers Bangalore,field,AJ Pycroft,KN Ananthapadmanabhan,JD Cloete,S Ravi,SJA Taufel,,2012,RajivGandhiInternationalStadium,9.0,group_stage,regular
2012-05-20,72,Jaipur,Rajasthan Royals,Mumbai Indians,72,Mumbai Indians,DR Smith,Rajasthan Royals,bat,Raju Mukherjee,K Bharatan,BNJ Oxenford,HDPK Dharmasena,C Shamshuddin,10.0,2012,SawaiMansinghStadium,,group_stage,regular
2012-05-22,73,Pune,Kolkata Knight Riders,Delhi Daredevils,Qualifier 1,Kolkata Knight Riders,YK Pathan,Kolkata Knight Riders,bat,AJ Pycroft,NA Patwardhan,HDPK Dharmasena,BR Doctrove,SJA Taufel,,2012,SubrataRoySaharaStadium,18.0,Qualifier 1,regular
2012-05-23,74,Bangalore,Chennai Super Kings,Mumbai Indians,Elimination Final,Chennai Super Kings,MS Dhoni,Mumbai Indians,field,RS Madugalle,CK Nandan,SJA Taufel,BF Bowden,HDPK Dharmasena,,2012,MChinnaswamyStadium,38.0,Elimination Final,regular
2012-05-25,75,Chennai,Chennai Super Kings,Delhi Daredevils,Qualifier 2,Chennai Super Kings,M Vijay,Delhi Daredevils,field,RS Madugalle,K Srinath,BF Bowden,BR Doctrove,SJA Taufel,,2012,MAChidambaramStadium,86.0,Qualifier 2,regular
2012-05-27,76,Chennai,Chennai Super Kings,Kolkata Knight Riders,Final,Kolkata Knight Riders,MS Bisla,Chennai Super Kings,bat,RS Madugalle,K Srinivasan,BR Doctrove,BF Bowden,SJA Taufel,5.0,2012,MAChidambaramStadium,,Final,regular
2013-04-03,1,Kolkata,Delhi Daredevils,Kolkata Knight Riders,1,Kolkata Knight Riders,SP Narine,Kolkata Knight Riders,field,DC Boon,AS Pathania,S Asnani,S Ravi,SJA Taufel,6.0,2013,EdenGardens,,group_stage,regular
2013-04-04,2,Bangalore,Royal Challengers Bangalore,Mumbai Indians,2,Royal Challengers Bangalore,CH Gayle,Mumbai Indians,field,AJ Pycroft,KN Ananthapadmanabhan,K Srinath,VA Kulkarni,C Shamshuddin,,2013,MChinnaswamyStadium,2.0,group_stage,regular
2013-04-05,3,Hyderabad,Sunrisers Hyderabad,Pune Warriors,3,Sunrisers Hyderabad,A Mishra,Pune Warriors,field,DC Boon,A Nand Kishore,CK Nandan,S Ravi,SJA Taufel,,2013,RajivGandhiInternationalStadium,22.0,group_stage,regular
2013-04-06,4,Delhi,Rajasthan Royals,Delhi Daredevils,4,Rajasthan Royals,R Dravid,Rajasthan Royals,bat,AJ Pycroft,K Bharatan,AK Chaudhary,S Das,C Shamshuddin,,2013,FerozShahKotla,5.0,group_stage,regular
2013-04-06,5,Chennai,Mumbai Indians,Chennai Super Kings,5,Mumbai Indians,KA Pollard,Mumbai Indians,bat,J Srinath,K Srinivasan,K Srinath,M Erasmus,VA Kulkarni,,2013,MAChidambaramStadium,9.0,group_stage,regular
2013-04-07,6,Pune,Pune Warriors,Kings XI Punjab,6,Kings XI Punjab,M Vohra,Pune Warriors,bat,RS Madugalle,PG Pathak,CK Nandan,S Asnani,SJA Taufel,8.0,2013,SubrataRoySaharaStadium,,group_stage,regular
2013-04-07,7,Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,7,tie,GH Vihari,Royal Challengers Bangalore,bat,DC Boon,A Nand Kishore,K Srinath,AK Chaudhary,S Ravi,,2013,RajivGandhiInternationalStadium,,group_stage,regular
2013-04-08,8,Jaipur,Rajasthan Royals,Kolkata Knight Riders,8,Rajasthan Royals,SK Trivedi,Kolkata Knight Riders,field,AJ Pycroft,Tapan Sharma,C Shamshuddin,Aleem Dar,S Das,,2013,SawaiMansinghStadium,19.0,group_stage,regular
2013-04-09,9,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,9,Royal Challengers Bangalore,V Kohli,Sunrisers Hyderabad,bat,DC Boon,KN Ananthapadmanabhan,CK Nandan,S Ravi,SJA Taufel,7.0,2013,MChinnaswamyStadium,,group_stage,regular
2013-04-09,10,Mumbai,Mumbai Indians,Delhi Daredevils,10,Mumbai Indians,KD Karthik,Mumbai Indians,bat,RS Madugalle,RM Deshpande,S Asnani,M Erasmus,VA Kulkarni,,2013,WankhedeStadium,44.0,group_stage,regular
2013-04-10,11,Chandigarh,Kings XI Punjab,Chennai Super Kings,11,Chennai Super Kings,MEK Hussey,Chennai Super Kings,field,AJ Pycroft,Nitin Menon,S Das,Aleem Dar,C Shamshuddin,10.0,2013,PunjabCricketAssociationStadium,,group_stage,regular
2013-04-11,12,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,12,Royal Challengers Bangalore,CH Gayle,Royal Challengers Bangalore,field,DC Boon,KN Ananthapadmanabhan,S Asnani,Asad Rauf,AK Chaudhary,8.0,2013,MChinnaswamyStadium,,group_stage,regular
2013-04-11,13,Pune,Rajasthan Royals,Pune Warriors,13,Pune Warriors,AJ Finch,Rajasthan Royals,bat,RS Madugalle,PG Pathak,VA Kulkarni,M Erasmus,K Srinath,7.0,2013,SubrataRoySaharaStadium,,group_stage,regular
2013-04-12,14,Delhi,Delhi Daredevils,Sunrisers Hyderabad,14,Sunrisers Hyderabad,A Mishra,Delhi Daredevils,bat,AJ Pycroft,K Bharatan,C Shamshuddin,Aleem Dar,Subroto Das,3.0,2013,FerozShahKotla,,group_stage,regular
2013-04-13,15,Mumbai,Mumbai Indians,Pune Warriors,15,Mumbai Indians,RG Sharma,Mumbai Indians,bat,DC Boon,RM Deshpande,CK Nandan,S Ravi,SJA Taufel,,2013,WankhedeStadium,41.0,group_stage,regular
2013-04-13,16,Chennai,Royal Challengers Bangalore,Chennai Super Kings,16,Chennai Super Kings,RA Jadeja,Chennai Super Kings,field,J Srinath,K Srinivasan,S Asnani,Asad Rauf,AK Chaudhary,4.0,2013,MAChidambaramStadium,,group_stage,regular
2013-04-14,17,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,17,Kolkata Knight Riders,G Gambhir,Kolkata Knight Riders,bat,RS Madugalle,AS Pathania,K Srinath,M Erasmus,VA Kulkarni,,2013,EdenGardens,48.0,group_stage,regular
2013-04-14,18,Jaipur,Kings XI Punjab,Rajasthan Royals,18,Rajasthan Royals,JP Faulkner,Rajasthan Royals,field,AJ Pycroft,Tapan Sharma,S Das,Aleem Dar,C Shamshuddin,6.0,2013,SawaiMansinghStadium,,group_stage,regular
2013-04-15,19,Chennai,Pune Warriors,Chennai Super Kings,19,Pune Warriors,SPD Smith,Pune Warriors,bat,RR Jadeja,K Srinivasan,S Asnani,Asad Rauf,AK Chaudhary,,2013,MAChidambaramStadium,24.0,group_stage,regular
2013-04-16,20,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,20,Kings XI Punjab,MS Gony,Kolkata Knight Riders,field,RS Mahanama,,HDPK Dharmasena,CK Nandan,SJA Taufel,,2013,PunjabCricketAssociationStadium,4.0,group_stage,regular
2013-04-16,21,Bangalore,Delhi Daredevils,Royal Challengers Bangalore,21,tie,V Kohli,Royal Challengers Bangalore,field,RS Madugalle,KN Ananthapadmanabhan,K Srinath,M Erasmus,VA Kulkarni,,2013,MChinnaswamyStadium,,group_stage,regular
2013-04-17,22,Pune,Sunrisers Hyderabad,Pune Warriors,22,Sunrisers Hyderabad,A Mishra,Pune Warriors,field,J Srinath,PG Pathak,S Asnani,Asad Rauf,AK Chaudhary,,2013,MaharashtraCricketAssociationStadium,11.0,group_stage,regular
2013-04-17,23,Jaipur,Rajasthan Royals,Mumbai Indians,23,Rajasthan Royals,AM Rahane,Rajasthan Royals,bat,AJ Pycroft,Tapan Sharma,S Das,Aleem Dar,C Shamshuddin,,2013,SawaiMansinghStadium,87.0,group_stage,regular
2013-04-18,24,Delhi,Chennai Super Kings,Delhi Daredevils,24,Chennai Super Kings,MEK Hussey,Chennai Super Kings,bat,RS Madugalle,K Bharatan,K Srinath,M Erasmus,VA Kulkarni,,2013,FerozShahKotla,86.0,group_stage,regular
2013-04-19,25,Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,25,Sunrisers Hyderabad,GH Vihari,Kings XI Punjab,bat,RS Mahanama,A Nand Kishore,,HDPK Dharmasena,CK Nandan,5.0,2013,RajivGandhiInternationalStadium,,group_stage,regular
2013-04-20,26,Kolkata,Kolkata Knight Riders,Chennai Super Kings,26,Chennai Super Kings,RA Jadeja,Kolkata Knight Riders,bat,Raju Mukherjee,AS Pathania,S Asnani,Asad Rauf,AK Chaudhary,4.0,2013,EdenGardens,,group_stage,regular
2013-04-20,27,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,27,Royal Challengers Bangalore,R Vinay Kumar,Royal Challengers Bangalore,field,AJ Pycroft,KN Ananthapadmanabhan,S Das,Aleem Dar,C Shamshuddin,7.0,2013,MChinnaswamyStadium,,group_stage,regular
2013-04-21,28,Delhi,Mumbai Indians,Delhi Daredevils,28,Delhi Daredevils,V Sehwag,Mumbai Indians,bat,RS Mahanama,K Bharatan,CK Nandan,HDPK Dharmasena,S Ravi,9.0,2013,FerozShahKotla,,group_stage,regular
2013-04-21,29,Chandigarh,Pune Warriors,Kings XI Punjab,29,Kings XI Punjab,DA Miller,Kings XI Punjab,field,RS Madugalle,Nitin Menon,VA Kulkarni,M Erasmus,K Srinath,7.0,2013,PunjabCricketAssociationStadium,,group_stage,regular
2013-04-22,30,Chennai,Rajasthan Royals,Chennai Super Kings,30,Chennai Super Kings,MEK Hussey,Rajasthan Royals,bat,RR Jadeja,K Srinivasan,Asad Rauf,S Asnani,AK Chaudhary,5.0,2013,MAChidambaramStadium,,group_stage,regular
2013-04-23,31,Bangalore,Royal Challengers Bangalore,Pune Warriors,31,Royal Challengers Bangalore,CH Gayle,Pune Warriors,field,AJ Pycroft,KN Ananthapadmanabhan,S Das,Aleem Dar,C Shamshuddin,,2013,MChinnaswamyStadium,130.0,group_stage,regular
2013-04-23,32,Delhi,Delhi Daredevils,Kings XI Punjab,32,Kings XI Punjab,Harmeet Singh,Kings XI Punjab,field,RS Madugalle,K Bharatan,M Erasmus,VA Kulkarni,K Srinath,5.0,2013,FerozShahKotla,,group_stage,regular
2013-04-24,33,Kolkata,Kolkata Knight Riders,Mumbai Indians,33,Mumbai Indians,DR Smith,Kolkata Knight Riders,bat,RS Mahanama,AS Pathania,CK Nandan,HDPK Dharmasena,S Ravi,5.0,2013,EdenGardens,,group_stage,regular
2013-04-25,34,Chennai,Sunrisers Hyderabad,Chennai Super Kings,34,Chennai Super Kings,MS Dhoni,Sunrisers Hyderabad,bat,AJ Pycroft,K Srinivasan,C Shamshuddin,Aleem Dar,S Das,5.0,2013,MAChidambaramStadium,,group_stage,regular
2013-04-26,35,Kolkata,Kings XI Punjab,Kolkata Knight Riders,35,Kolkata Knight Riders,JH Kallis,Kings XI Punjab,bat,RS Mahanama,AS Pathania,HDPK Dharmasena,CK Nandan,S Ravi,6.0,2013,EdenGardens,,group_stage,regular
2013-04-27,36,Jaipur,Sunrisers Hyderabad,Rajasthan Royals,36,Rajasthan Royals,JP Faulkner,Sunrisers Hyderabad,bat,RS Madugalle,Tapan Sharma,M Erasmus,VA Kulkarni,K Srinath,8.0,2013,SawaiMansinghStadium,,group_stage,regular
2013-04-27,37,Mumbai,Mumbai Indians,Royal Challengers Bangalore,37,Mumbai Indians,DR Smith,Mumbai Indians,bat,J Srinath,RM Deshpande,AK Chaudhary,Asad Rauf,S Asnani,,2013,WankhedeStadium,58.0,group_stage,regular
2013-04-28,38,Chennai,Chennai Super Kings,Kolkata Knight Riders,38,Chennai Super Kings,MEK Hussey,Kolkata Knight Riders,field,AJ Pycroft,K Srinivasan,C Shamshuddin,Aleem Dar,SJA Taufel,,2013,MAChidambaramStadium,14.0,group_stage,regular
